,Team ID,Team Name,Team Mascot,Team Win Record,Team Loss Record
156,94,Northern Kentucky,Norse,14,10
157,2473,Oakland,Golden Grizzlies,11,17
158,2870,Purdue Fort Wayne,Mastodons,8,15
159,2523,Robert Morris,Colonials,4,15
160,82,UIC,Flames,9,13
161,2750,Wright State,Raiders,18,6
162,2754,Youngstown State,Penguins,15,12
163,2099,Canisius,Golden Griffins,7,5
164,2217,Fairfield,Stags,7,16
165,314,Iona,Gaels,8,5
166,2363,Manhattan,Jaspers,7,12
167,2368,Marist,Red Foxes,12,8
168,2405,Monmouth,Hawks,12,7
169,315,Niagara,Purple Eagles,8,10
170,2514,Quinnipiac,Bobcats,9,12
171,2520,Rider,Broncs,5,16
172,2612,Saint Peter's,Peacocks,13,10
173,2561,Siena,Saints,12,4
174,2006,Akron,Zips,14,7
175,2050,Ball State,Cardinals,10,12
176,189,Bowling Green,Falcons,14,10
177,2084,Buffalo,Bulls,14,7
178,2117,Central Michigan,Chippewas,7,16
179,2199,Eastern Michigan,Eagles,6,12
180,2309,Kent State,Golden Flashes,15,7
181,193,Miami (OH),Redhawks,12,10
182,2459,Northern Illinois,Huskies,3,16
183,195,Ohio,Bobcats,13,7
184,2649,Toledo,Rockets,20,7
185,2711,Western Michigan,Broncos,5,16
186,2154,Coppin State,Eagles,9,12
187,2169,Delaware State,Hornets,3,16
188,50,Florida A&M,Rattlers,8,11
189,47,Howard,Bison,1,4
190,2415,Morgan St,Bears,12,7
191,2450,Norfolk St,Spartans,14,7
192,2448,North Carolina A&T,Aggies,11,10
193,2428,North Carolina Central,Eagles,5,8
194,2569,South Carolina State,Bulldogs,1,17
195,71,Bradley,Braves,12,16
196,2181,Drake,Bulldogs,25,4
197,339,Evansville,Purple Aces,9,16
198,2287,Illinois State,Redbirds,7,18
199,282,Indiana State,Sycamores,15,10
200,2350,Loyola Chicago,Ramblers,24,4
201,2623,Missouri State,Bears,17,7
202,2460,Northern Iowa,Panthers,10,15
203,79,Southern Illinois,Salukis,12,14
204,2674,Valparaiso,N/A,10,18
205,2005,Air Force,Falcons,5,19
206,68,Boise State,Broncos,18,7
207,36,Colorado State,Rams,17,5
