,Team ID,Team Name,Team Mascot,Team Win Record,Team Loss Record
155,270,Milwaukee,Panthers,19,7
156,94,Northern Kentucky,Norse,8,11
157,2473,Oakland,Golden Grizzlies,12,12
158,2870,Purdue Fort Wayne,Mastodons,1,22
159,2523,Robert Morris,Colonials,4,13
160,82,UIC,Flames,3,16
161,2750,Wright State,Raiders,17,7
162,2754,Youngstown State,Penguins,10,8
163,2099,Canisius,Golden Griffins,0,5
164,2217,Fairfield,Stags,10,4
165,314,Iona,Gaels,6,8
166,2363,Manhattan,Lady Jaspers,10,6
167,2368,Marist,Red Foxes,15,3
168,2405,Monmouth,Hawks,2,15
169,315,Niagara,Purple Eagles,4,6
170,2514,Quinnipiac,Bobcats,13,7
171,2520,Rider,Broncs,6,17
172,2612,Saint Peter's,Peacocks,11,14
173,2561,Siena,Saints,3,8
174,2006,Akron,Zips,7,14
175,2050,Ball State,Cardinals,14,10
176,189,Bowling Green,Falcons,18,5
177,2084,Buffalo,Bulls,14,8
178,2117,Central Michigan,Chippewas,15,8
179,2199,Eastern Michigan,Eagles,10,9
180,2309,Kent State,Golden Flashes,11,8
181,193,Miami (OH),Redhawks,4,20
182,2459,Northern Illinois,Huskies,12,11
183,195,Ohio,Bobcats,13,7
184,2649,Toledo,Rockets,12,12
185,2711,Western Michigan,Broncos,6,15
186,2154,Coppin State,Eagles,2,12
187,2169,Delaware State,Lady Hornets,3,12
188,47,Howard,Bison,14,3
189,2415,Morgan State,Lady Bears,11,3
190,2450,Norfolk State,Spartans,4,8
191,2448,North Carolina A&T,Aggies,12,2
192,2428,North Carolina Central,Eagles,4,11
193,2569,South Carolina State,Lady Bulldogs,1,9
194,71,Bradley,Braves,14,11
195,2181,Drake,Bulldogs,15,10
196,339,Evansville,Purple Aces,6,16
197,2287,Illinois State,Redbirds,14,6
198,282,Indiana State,Sycamores,5,14
199,2350,Loyola Chicago,Ramblers,10,12
200,2623,Missouri State,Lady Bears,20,2
201,2460,Northern Iowa,Panthers,14,11
202,79,Southern Illinois,Salukis,8,15
203,2674,Valparaiso,N/A,11,12
204,2005,Air Force,Falcons,8,18
205,68,Boise State,Broncos,13,8
206,36,Colorado State,Rams,15,5
207,278,Fresno State,Bulldogs,15,9
208,2440,Nevada,Wolf Pack,13,9
209,167,New Mexico,Lobos,15,3
210,21,San Diego State,Aztecs,7,17
211,23,San José State,Spartans,2,2
212,2439,UNLV,Lady Rebels,15,8
213,328,Utah State,Aggies,4,20
214,2751,Wyoming,Cowgirls,11,9
215,2803,Bryant,Bulldogs,7,14
216,2115,Central Connecticut,Blue Devils,4,14
217,161,Fairleigh Dickinson,Knights,16,7
218,112358,Long Island University,Sharks,7,11
219,2771,Merrimack,Warriors,5,10
220,116,Mount St. Mary's,Mountaineers,15,6
221,2529,Sacred Heart,Pioneers,8,10
222,2597,St. Francis (BKN),Terriers,4,10
223,2598,St. Francis (PA),Red Flash,14,8
224,2681,Wagner,Seahawks,12,5
225,2046,Austin Peay,Lady Govs,12,11
226,2057,Belmont,Bruins,20,5
227,2197,Eastern Illinois,Panthers,11,15
228,2198,Eastern Kentucky,Colonels,9,15
229,55,Jacksonville State,Gamecocks,15,9
230,2413,Morehead State,Eagles,7,16
231,93,Murray State,Racers,16,11
232,2565,SIU Edwardsville,Cougars,6,19
233,2546,Southeast Missouri State,Redhawks,15,11
234,2634,Tennessee State,Lady Tigers,0,22
235,2635,Tennessee Tech,Golden Eagles,15,10
236,2630,UT Martin,Skyhawks,20,5
237,9,Arizona State,Sun Devils,11,10
238,12,Arizona,Wildcats,16,5
239,25,California,Golden Bears,1,16
240,38,Colorado,Buffaloes,10,10
241,2483,Oregon,Ducks,13,8
242,204,Oregon State,Beavers,11,7
243,24,Stanford,Cardinal,25,2
244,26,UCLA,Bruins,16,5
245,30,USC,Trojans,11,12
246,254,Utah,Utes,5,16
247,264,Washington,Huskies,7,14
248,265,Washington State,Cougars,12,11
249,44,American,Eagles,7,3
250,349,Army,Black Knights,9,11
251,104,Boston University,Terriers,11,2
252,2083,Bucknell,Bison,9,0
253,2142,Colgate,Raiders,1,8
254,107,Holy Cross,Crusaders,7,8
255,322,Lafayette,Leopards,5,8
256,2329,Lehigh,Mountain Hawks,8,5
257,2352,Loyola (MD),Greyhounds,0,13
258,2426,Navy,Midshipmen,5,7
259,333,Alabama,Crimson Tide,16,9
260,8,Arkansas,Razorbacks,19,8
261,2,Auburn,Tigers,5,19
262,57,Florida,Gators,11,13
263,61,Georgia,Lady Bulldogs,20,6
264,96,Kentucky,Wildcats,17,8
265,99,LSU,Tigers,9,13
266,344,Mississippi State,Bulldogs,10,9
267,142,Missouri,Tigers,9,11
268,145,Ole Miss,Rebels,11,11
269,2579,South Carolina,Gamecocks,22,4
270,2633,Tennessee,Lady Volunteers,16,7
271,245,Texas A&M,Aggies,23,2
272,238,Vanderbilt,Commodores,4,4
273,236,Chattanooga,Mocs,14,10
274,2193,East Tennessee State,Bucs,4,16
275,231,Furman,Lady Paladins,11,14
276,2382,Mercer,Bears,19,6
277,2535,Samford,Bulldogs,14,9
278,2430,UNC Greensboro,Spartans,8,16
279,2717,Western Carolina,Catamounts,6,18
280,2747,Wofford,Terriers,13,11
281,2000,Abilene Christian,Wildcats,13,9
282,2110,Central Arkansas,Sugar Bears,11,13
283,2277,Houston Baptist,Huskies,10,10
284,2916,Incarnate Word,Cardinals,6,8
285,2320,Lamar,Cardinals,10,13
286,2377,McNeese,Cowgirls,6,15
287,2443,New Orleans,Privateers,6,15
288,2447,Nicholls,Colonels,10,13
289,2466,Northwestern State,Lady Demons,1,19
290,2545,SE Louisiana,Lady Lions,11,7
291,2534,Sam Houston State,Bearkats,13,7
292,2617,Stephen F. Austin,Ladyjacks,22,2
293,357,Texas A&M-CC,Islanders,6,13
294,2010,Alabama A&M,Bulldogs,10,6
295,2011,Alabama State,Lady Hornets,14,3
296,2016,Alcorn State,Lady Braves,7,12
297,2029,Arkansas-Pine Bluff,Golden Lions,3,18
298,2755,Grambling,Lady Tigers,9,9
299,2296,Jackson State,Lady Tigers,15,5
300,2400,Mississippi Valley State,Devilettes,4,15
301,2504,Prairie View A&M,Lady Panthers,3,13
302,2582,Southern,Lady Jaguars,11,10
303,2640,Texas Southern,Lady Tigers,5,9
304,2172,Denver,Pioneers,7,16
305,155,North Dakota,Fighting Hawks,2,19
306,2449,North Dakota State,Bison,15,9
307,2437,Omaha,Mavericks,7,12
308,198,Oral Roberts,Golden Eagles,6,15
309,233,South Dakota,Coyotes,18,5
310,2571,South Dakota State,Jackrabbits,21,3
311,140,UM Kansas City,Roos,10,12
312,2710,Western Illinois,Leathernecks,8,16
313,2026,Appalachian State,Mountaineers,15,12
314,2032,Arkansas State,Red Wolves,9,12
315,324,Coastal Carolina,Chanticleers,3,15
316,290,Georgia Southern,Eagles,11,13
317,2247,Georgia State,Panthers,13,11
318,2031,Little Rock,Trojans,15,11
319,309,Louisiana,Ragin' Cajuns,16,6
320,6,South Alabama,Jaguars,13,13
321,326,Texas State,Bobcats,11,11
322,2653,Troy,Trojans,22,5
323,2433,UL Monroe,Warhawks,3,20
324,250,UT Arlington,Mavericks,13,7
325,252,BYU,Cougars,18,4
326,2250,Gonzaga,Bulldogs,22,3
327,2351,Loyola Marymount,Lions,7,19
328,279,Pacific,Tigers,11,11
329,2492,Pepperdine,Waves,5,18
330,2501,Portland,Pilots,12,12
331,2608,Saint Mary's,Gaels,7,19
332,301,San Diego,Toreros,12,7
333,2539,San Francisco,Dons,15,10
334,2541,Santa Clara,Broncos,14,11
335,2856,California Baptist,Lancers,22,0
336,2130,Chicago State,Cougars,0,13
337,3101,Dixie State,Trailblazers,1,2
338,2253,Grand Canyon,Antelopes,16,6
339,166,New Mexico State,Aggies,8,11
340,2547,Seattle U,Redhawks,11,13
341,2627,Tarleton,Texans,9,16
342,292,UT Rio Grande Valley,Vaqueros,6,13
343,3084,Utah Valley,Wolverines,12,5
