,Team Name,Team Mascot,Team Win Record,Team Loss Record
178,Central Michigan,Chippewas,7,16
179,Eastern Michigan,Eagles,6,12
180,Kent State,Golden Flashes,15,7
181,Miami (OH),Redhawks,12,10
182,Northern Illinois,Huskies,3,16
183,Ohio,Bobcats,13,7
184,Toledo,Rockets,20,7
185,Western Michigan,Broncos,5,16
186,Coppin State,Eagles,9,12
187,Delaware State,Hornets,3,16
188,Florida A&M,Rattlers,8,11
189,Howard,Bison,1,4
190,Morgan St,Bears,12,7
191,Norfolk St,Spartans,14,7
192,North Carolina A&T,Aggies,11,10
193,North Carolina Central,Eagles,5,8
194,South Carolina State,Bulldogs,1,17
195,Bradley,Braves,12,16
196,Drake,Bulldogs,25,4
197,Evansville,Purple Aces,9,16
198,Illinois State,Redbirds,7,18
199,Indiana State,Sycamores,15,10
200,Loyola Chicago,Ramblers,24,4
201,Missouri State,Bears,17,7
202,Northern Iowa,Panthers,10,15
203,Southern Illinois,Salukis,12,14
204,Valparaiso,N/A,10,18
205,Air Force,Falcons,5,19
206,Boise State,Broncos,18,7
207,Colorado State,Rams,17,5
208,Fresno State,Bulldogs,11,11
209,Nevada,Wolf Pack,15,9
210,New Mexico,Lobos,6,15
211,San Diego State,Aztecs,20,4
212,San José St,Spartans,5,15
213,UNLV,Rebels,11,14
214,Utah State,Aggies,18,7
215,Wyoming,Cowboys,13,10
216,Bryant,Bulldogs,15,5
217,Central Connecticut,Blue Devils,5,16
218,Fairleigh Dickinson,Knights,9,15
219,Long Island University,Sharks,9,9
220,Merrimack,Warriors,9,9
221,Mount St. Mary's,Mountaineers,11,10
222,Sacred Heart,Pioneers,9,9
223,St. Francis (BKN),Terriers,9,10
224,St. Francis (PA),Red Flash,6,16
225,Wagner,Seahawks,13,7
226,Austin Peay,Governors,14,13
227,Belmont,Bruins,26,4
228,Eastern Illinois,Panthers,9,18
229,Eastern Kentucky,Colonels,22,7
230,Jacksonville State,Gamecocks,18,9
231,Morehead State,Eagles,23,7
232,Murray State,Racers,13,13
233,SIU Edwardsville,Cougars,9,17
234,Southeast Missouri State,Redhawks,11,16
235,Tennessee State,Tigers,4,19
236,Tennessee Tech,Golden Eagles,5,22
237,UT Martin,Skyhawks,8,16
238,Arizona State,Sun Devils,10,13
239,Arizona,Wildcats,17,9
240,California,Golden Bears,8,19
241,Colorado,Buffaloes,20,7
242,Oregon,Ducks,19,5
243,Oregon State,Beavers,14,12
244,Stanford,Cardinal,14,12
245,UCLA,Bruins,17,8
246,USC,Trojans,21,6
247,Utah,Utes,11,12
248,Washington,Huskies,5,20
249,Washington State,Cougars,14,12
250,American,Eagles,4,6
251,Army,Black Knights,12,8
252,Boston University,Terriers,7,11
253,Bucknell,Bison,5,6
254,Colgate,Raiders,12,1
255,Holy Cross,Crusaders,5,11
256,Lafayette,Leopards,9,6
257,Lehigh,Mountain Hawks,4,11
258,Loyola (MD),Greyhounds,5,10
259,Navy,Midshipmen,15,3
260,Alabama,Crimson Tide,21,6
261,Arkansas,Razorbacks,21,5
262,Auburn,Tigers,13,14
263,Florida,Gators,13,8
264,Georgia,Bulldogs,14,11
265,Kentucky,Wildcats,9,15
266,LSU,Tigers,16,8
267,Mississippi State,Bulldogs,14,13
268,Missouri,Tigers,15,8
269,Ole Miss,Rebels,15,10
270,South Carolina,Gamecocks,6,14
271,Tennessee,Volunteers,17,7
272,Texas A&M,Aggies,8,9
273,Vanderbilt,Commodores,8,15
274,Chattanooga,Mocs,18,8
275,East Tennessee State,Buccaneers,13,12
276,Furman,Paladins,16,9
277,Mercer,Bears,18,10
278,Samford,Bulldogs,6,13
279,The Citadel,Bulldogs,13,12
280,UNC Greensboro,Spartans,20,8
281,VMI,Keydets,13,12
282,Western Carolina,Catamounts,11,16
283,Wofford,Terriers,15,9
284,Abilene Christian,Wildcats,21,4
285,Central Arkansas,Bears,5,19
286,Houston Baptist,Huskies,5,18
287,Incarnate Word,Cardinals,8,13
288,Lamar,Cardinals,8,17
289,McNeese,Cowboys,10,13
290,New Orleans,Privateers,9,14
291,Nicholls,Colonels,17,6
292,Northwestern State,Demons,10,17
293,SE Louisiana,Lions,7,17
294,Sam Houston State,Bearkats,19,8
295,Stephen F. Austin,Lumberjacks,16,5
296,Texas A&M-CC,Islanders,5,19
297,Alabama A&M,Bulldogs,6,9
298,Alabama State,Hornets,4,14
299,Alcorn State,Braves,6,12
300,Arkansas-Pine Bluff,Golden Lions,4,20
301,Grambling,Tigers,11,11
302,Jackson State,Tigers,11,5
303,Mississippi Valley State,Delta Devils,2,21
304,Prairie View A&M,Panthers,14,4
305,Southern,Jaguars,8,10
306,Texas Southern,Tigers,13,8
307,Denver,Pioneers,2,19
308,North Dakota,Fighting Hawks,9,17
309,North Dakota State,Bison,14,11
310,Omaha,Mavericks,5,20
311,Oral Roberts,Golden Eagles,14,10
312,South Dakota,Coyotes,14,10
313,South Dakota State,Jackrabbits,16,6
314,UM Kansas City,Roos,11,13
315,Western Illinois,Leathernecks,7,15
316,Appalachian State,Mountaineers,16,11
317,Arkansas State,Red Wolves,11,13
318,Coastal Carolina,Chanticleers,16,7
319,Georgia Southern,Eagles,13,13
